actor_id,name
1079,David Patrick Kelly
1080,Veronica Webb
1081,Ron Canada
1082,Robert LaSardo
1083,Gano Grills
1084,Ivonne Coll
1085,Don Harvey
1086,Mya
1087,Nasir 'Nas' Jones
1088,Jermaine Dupri
1089,Jay Chou
1090,Anne Suzuki
1091,Edison Chen
1092,Anthony Wong Chau-sang
1093,Shawn Yue
1094,Chapman To
1095,Jordan Chan
1096,Kenny Bee
1097,Jai Brooks
1098,Luke Brooks
1099,James Yammouni
1100,Daniel Sahyounie
1101,Beau Brooks
1102,Lori Gardner
1103,Kate Bristol
1104,Billy Bob Thompson
1105,Marc Thompson
1106,Erica Schroeder
1107,Kensho Ono
1108,Yuki Ono
1109,Chiwa Saito
1110,Yoshimasa Hosoya
1111,Hirofumi Nojima
1112,Takuya Eguchi
1113,Soichiro Hoshi
1114,Tatsuhisa Suzuki
1115,Go Inoue
1116,Ryohei Kimura
1117,Kazuya Nakai
1118,Kenichi Suzumura
1119,Hiroshi Kamiya
1120,David Bowie
1121,Jennifer Connelly
1122,Frank Oz
1123,Kevin Clash
1124,Anthony Asbury
1125,Dave Goelz
1126,Brian Henson
1127,Ron Mueck
1128,Karen Prell
1129,Shari Weiser
1130,Christopher Egan
1131,Gael GarcÃ­a Bernal
1132,Vanessa Redgrave
1133,Franco Nero
1134,Luisa Ranieri
1135,Marina Massironi
1136,Milena Vukotic
1137,Marcia DeBonis
1138,Luisa De Santis
1139,Lidia Biondi
1140,Giordano Formenti
1141,Chris Egan
1142,Katie Douglas
1143,Celina Martin
1144,Peter Outerbridge
1145,Sara Canning
1146,Alexis Whelan
1147,Amalia Williamson
1148,Josette Halpert
1149,Kiana Madeira
1150,Nick Cannon
1151,Christina Milian
1152,Kenan Thompson
1153,Kal Penn
1154,Steve Harvey
1155,Al Thompson
1156,Ashley Monique Clark
1157,Elimu Nelson
1158,Nichole Robinson
1159,Melissa Schuman
1160,Miriam Chin Wah Yeung
1161,Singh Hartihan Bitto
1162,Isabel Chan
1163,Cheung Tat-ming
1164,Matt Chow
1165,Chui Tien-you
1166,Queenie Chu
1167,Charmaine Fong
1168,Vincent Kok
1169,Gerald McRaney
1170,Shanna Reed
1171,Nicole Dubuc
1172,Chelsea Hertford
1173,Marisa Ryan
1174,Matt Mulhern
1175,Beverly Archer
1176,Jon Cypher
1177,Jack Nicholson
1178,Annette Bening
1179,Pierce Brosnan
1180,Danny DeVito
1181,Martin Short
1182,Sarah Jessica Parker
1183,Michael J. Fox
1184,Rod Steiger
1185,Tom Jones
1186,Lukas Haas
1187,Chadwick Boseman
1188,Josh Gad
1189,Kate Hudson
1190,Sterling K. Brown
1191,Dan Stevens
1192,James Cromwell
1193,Keesha Sharp
1194,Roger Guenveur Smith
1195,Derrick Baskin
1196,Barrett Doss
1197,Ashton Kutcher
1198,Tara Reid
1199,Jeffrey Tambor
1200,Andy Richter
1201,Michael Madsen
1202,Jon Abrahams
1203,David Koechner
1204,Carmen Electra
1205,Molly Shannon
1206,Ben Stiller
1207,Hank Azaria
1208,William H. Macy
1209,Janeane Garofalo
1210,Kel Mitchell
1211,Paul Reubens
1212,Wes Studi
1213,Greg Kinnear
1214,Geoffrey Rush
1215,Lena Olin
1216,Eddie Izzard
1217,Artie Lange
1218,Pras
1219,Claire Forlani
1220,Tom Waits
